location,year,min(mdc),max(mdc),avg(mdc),stddev_samp(mdc),median
Digby,2015,0.010087186,0.056942366,0.02892490968181818,0.009476165216543877,0.026800357
Whitehorse,2015,0.017405122,1.200445087,0.054452589080000016,0.1655548357176357,0.029136908
Moncton,2014,0.021175884,0.066841277,0.03163741599999999,0.008753738424690237,0.027509325
Churchill,2010,0.009975743,0.057699992,0.03060311856410256,0.01114572338162734,0.029959381
RPB,2009,0.012398573,0.087921493,0.030526191525000006,0.01404693434602787,0.027606773
Amherstburg,2011,0.006358628,0.090341862,0.025021474665338644,0.010026798301562586,0.024134368
Halifax,2016,0.014161413,0.047896179,0.03226055926,0.008540191088358491,0.026732885
Ottawa,2017,0.021056222,0.039083833,0.029227081375000002,0.006919509118430727,0.026524857
Alert,2009,0.123498554,0.482820644,0.23639772105769227,0.08671273502004857,0.210170838
Whitehorse,2014,0.017113721,0.096531318,0.03323639905769231,0.012639237077146447,0.029811301
Amherstburg,2015,0.006547425,0.052795922,0.028043570308510637,0.010346153881838283,0.029035672
RPB,2010,0.012713694,0.421629986,0.03598639657142857,0.056650653651261366,0.027524949
Calgary,2011,0.020457997,0.048087564,0.03272905488461538,0.007156968032536946,0.033676435
Calgary,2016,0.022660133,0.055559835,0.030748729528301884,0.007587741870082818,0.026690545
Goose Bay,2010,0.022848095,0.053356256,0.03376437399999999,0.007896041391274826,0.033554697
Ottawa,2013,0.014913006,0.052088515,0.03287576613461539,0.0077786009845391075,0.03550771
Edmonton,2010,0.014547347,0.053448399,0.03159318191666668,0.009031180815997263,0.029561854
Winnipeg,2014,0.012331681,0.058148072,0.03233162742857143,0.008502151825334665,0.031809327
Edmonton,2017,0.024174681,0.04545544,0.03530255610000001,0.008648360097043286,0.036633042
St. Johns,2009,0.045502522,0.051335152,0.049038972333333326,0.003107828289042099,0.050279243
Sidney,2011,0.01337607,0.050547766,0.028792026543283587,0.007263831849845078,0.029880894
Montreal,2016,0.018379377,0.056021338,0.032485000519230776,0.008758852606121968,0.031538808
Saskatoon,2017,0.022156994,0.039245834,0.028926016222222222,0.006130404373531321,0.027953357
Port Hope,2017,0.024601629,0.047108233,0.0336090637,0.009438585621522434,0.028355166
Toronto,2012,0.022078591,0.056033455,0.033200832307692316,0.007836224593840794,0.03076395
Montreal,2012,0.019036974,0.05095504,0.03182420284615384,0.007800152270480518,0.02892059
Moosonee,2009,0.019638523,0.064351807,0.03045159396078432,0.009134480907995892,0.026124888
Quebec City,2012,0.016103481,0.095496231,0.033053167720000005,0.011387147345469343,0.031158369
Winnipeg,2009,0.012558708,0.063123152,0.028530193291666672,0.00924439312507034,0.0260543
Whitehorse,2017,0.02040229,0.041532108,0.028630875000000007,0.007294016178967097,0.026895736
Alert,2014,0.137790273,0.739146748,0.33833455924,0.1313820381997783,0.316774613
Digby,2013,0.014359831,0.057456783,0.031732894145833336,0.009081051479882574,0.031302425
Alert,2013,0.16391192,0.976627,0.4141478268461537,0.19990307624805803,0.355648059
Moosonee,2013,0.019900125,0.147234411,0.03457121848979592,0.01776476454912846,0.029287706
Toronto,2013,0.017961557,0.0499665,0.03345702018367347,0.0078183347267246,0.034743456
Charlottetown,2012,0.020763877,0.047421108,0.031223474134615382,0.006638301029458354,0.029703949
Quebec City,2011,0.021108946,0.055820907,0.03177653082692308,0.008154279993563452,0.028564491
Vancouver,2012,0.013484727,0.060391276,0.031522872111111114,0.009919212197130012,0.02860599
Ottawa,2016,0.01258171,0.053460875,0.028715329925925927,0.009472265102194405,0.026279534
Whitehorse,2016,0.008323744,0.069045107,0.032755857755555555,0.011942703847718967,0.030422614
Greenwood,2009,0.016900445,0.064805921,0.03063298016666667,0.010319278516301121,0.026502252
Iqaluit,2017,0.004611694,0.007424727,0.005777677,0.001139501799558766,0.005599278
Regina,2012,0.021974293,0.038923812,0.029650201571428576,0.0064509239485296185,0.026890334
Amherstburg,2009,4.38779E-4,0.054562279,0.018391402191489353,0.012245091116654658,0.018308618
Kuujjuarapik,2016,0.007421897,0.067124397,0.03078876381818182,0.01135654053199163,0.026516575
Toronto,2017,0.024695524,0.040361277,0.03133485799999999,0.005533495279428049,0.029638626
Moncton,2017,0.02425943,0.058870445,0.038728241000000004,0.012526999890209457,0.042818331
Winnipeg,2011,0.01617704,0.078821504,0.03609904250980392,0.010899319148188346,0.034868351
Coral Harbour,2014,0.006409529,0.045998573,0.028803954142857142,0.014994923318101799,0.036238714
Churchill,2012,0.010038339,0.063844568,0.025928412242424245,0.011838141427954179,0.026615929
Sidney,2015,0.012499038,0.037628325,0.02592336636309524,0.005912628271531077,0.02331432
Vancouver,2013,0.014742877,0.046787523,0.029740891043478258,0.007871597459195336,0.026975725
Amherstburg,2010,0.002662432,0.198879352,0.02026172416071429,0.026618212561525793,0.017700249
Charlottetown,2010,0.019267294,0.059191119,0.03255278742307693,0.00887941182583493,0.031162388
Kuujjuarapik,2017,0.015813266,0.041816447,0.026079411799999997,0.009549370546440021,0.024136628
